date,sku,sales_qty
2024-06-25,PROD001,37
2024-06-26,PROD001,38
2024-06-27,PROD001,26
2024-06-28,PROD001,36
2024-06-29,PROD001,50
2024-06-30,PROD001,0
2024-01-01,PROD002,25
2024-01-02,PROD002,22
2024-01-03,PROD002,0
2024-01-04,PROD002,19
2024-01-05,PROD002,22
2024-01-06,PROD002,22
2024-01-07,PROD002,24
2024-01-08,PROD002,19
2024-01-09,PROD002,18
2024-01-10,PROD002,15
2024-01-11,PROD002,14
2024-01-12,PROD002,19
2024-01-13,PROD002,13
2024-01-14,PROD002,13
2024-01-15,PROD002,19
2024-01-16,PROD002,17
2024-01-17,PROD002,12
2024-01-18,PROD002,19
2024-01-19,PROD002,11
2024-01-20,PROD002,19
2024-01-21,PROD002,17
2024-01-22,PROD002,18
2024-01-23,PROD002,18
2024-01-24,PROD002,19
2024-01-25,PROD002,16
2024-01-26,PROD002,21
2024-01-27,PROD002,17
2024-01-28,PROD002,8
2024-01-29,PROD002,17
2024-01-30,PROD002,18
2024-01-31,PROD002,18
2024-02-01,PROD002,24
2024-02-02,PROD002,18
2024-02-03,PROD002,30
2024-02-04,PROD002,27
2024-02-05,PROD002,16
2024-02-06,PROD002,26
2024-02-07,PROD002,26
2024-02-08,PROD002,21
2024-02-09,PROD002,18
2024-02-10,PROD002,16
2024-02-11,PROD002,17
2024-02-12,PROD002,21
2024-02-13,PROD002,18
2024-02-14,PROD002,14
2024-02-15,PROD002,14
2024-02-16,PROD002,14
2024-02-17,PROD002,13
2024-02-18,PROD002,15
2024-02-19,PROD002,0
2024-02-20,PROD002,17
2024-02-21,PROD002,20
2024-02-22,PROD002,14
2024-02-23,PROD002,18
2024-02-24,PROD002,18
2024-02-25,PROD002,19
2024-02-26,PROD002,12
2024-02-27,PROD002,18
2024-02-28,PROD002,20
2024-02-29,PROD002,24
2024-03-01,PROD002,25
2024-03-02,PROD002,21
2024-03-03,PROD002,24
2024-03-04,PROD002,28
2024-03-05,PROD002,0
2024-03-06,PROD002,28
2024-03-07,PROD002,25
2024-03-08,PROD002,20
2024-03-09,PROD002,17
2024-03-10,PROD002,14
2024-03-11,PROD002,14
2024-03-12,PROD002,19
2024-03-13,PROD002,16
2024-03-14,PROD002,18
2024-03-15,PROD002,24
2024-03-16,PROD002,20
2024-03-17,PROD002,17
2024-03-18,PROD002,25
2024-03-19,PROD002,18
2024-03-20,PROD002,16
2024-03-21,PROD002,15
2024-03-22,PROD002,15
2024-03-23,PROD002,18
2024-03-24,PROD002,15
2024-03-25,PROD002,19
2024-03-26,PROD002,15
2024-03-27,PROD002,21
2024-03-28,PROD002,18
2024-03-29,PROD002,20
2024-03-30,PROD002,23
2024-03-31,PROD002,20
2024-04-01,PROD002,29
2024-04-02,PROD002,23
2024-04-03,PROD002,30
2024-04-04,PROD002,26
2024-04-05,PROD002,29
2024-04-06,PROD002,23
2024-04-07,PROD002,27
2024-04-08,PROD002,22
2024-04-09,PROD002,24
2024-04-10,PROD002,21
2024-04-11,PROD002,19
2024-04-12,PROD002,19
2024-04-13,PROD002,25
2024-04-14,PROD002,19
2024-04-15,PROD002,20
2024-04-16,PROD002,20
2024-04-17,PROD002,23
2024-04-18,PROD002,19
2024-04-19,PROD002,19
2024-04-20,PROD002,0
2024-04-21,PROD002,20
2024-04-22,PROD002,21
2024-04-23,PROD002,19
2024-04-24,PROD002,21
2024-04-25,PROD002,18
2024-04-26,PROD002,24
2024-04-27,PROD002,17
2024-04-28,PROD002,19
2024-04-29,PROD002,23
2024-04-30,PROD002,22
2024-05-01,PROD002,27
2024-05-02,PROD002,29
2024-05-03,PROD002,27
2024-05-04,PROD002,35
2024-05-05,PROD002,25
2024-05-06,PROD002,26
2024-05-07,PROD002,31
2024-05-08,PROD002,25
2024-05-09,PROD002,19
2024-05-10,PROD002,24
2024-05-11,PROD002,24
2024-05-12,PROD002,24
2024-05-13,PROD002,21
2024-05-14,PROD002,18
2024-05-15,PROD002,18
2024-05-16,PROD002,24
2024-05-17,PROD002,21
2024-05-18,PROD002,17
2024-05-19,PROD002,23
2024-05-20,PROD002,19
2024-05-21,PROD002,0
2024-05-22,PROD002,24
2024-05-23,PROD002,18
2024-05-24,PROD002,21
2024-05-25,PROD002,20
2024-05-26,PROD002,22
2024-05-27,PROD002,22
2024-05-28,PROD002,22
2024-05-29,PROD002,19
2024-05-30,PROD002,22
2024-05-31,PROD002,20
2024-06-01,PROD002,29
2024-06-02,PROD002,28
2024-06-03,PROD002,29
2024-06-04,PROD002,28
2024-06-05,PROD002,24
2024-06-06,PROD002,28
2024-06-07,PROD002,21
2024-06-08,PROD002,0
2024-06-09,PROD002,20
2024-06-10,PROD002,21
2024-06-11,PROD002,28
2024-06-12,PROD002,23
2024-06-13,PROD002,0
2024-06-14,PROD002,20
2024-06-15,PROD002,26
2024-06-16,PROD002,23
2024-06-17,PROD002,0
2024-06-18,PROD002,28
2024-06-19,PROD002,22
2024-06-20,PROD002,24
2024-06-21,PROD002,22
2024-06-22,PROD002,23
2024-06-23,PROD002,23
2024-06-24,PROD002,20
2024-06-25,PROD002,26
2024-06-26,PROD002,24
2024-06-27,PROD002,29
2024-06-28,PROD002,26
2024-06-29,PROD002,22
2024-06-30,PROD002,30
2024-01-01,PROD003,40
2024-01-02,PROD003,40
2024-01-03,PROD003,36
2024-01-04,PROD003,42
2024-01-05,PROD003,38
2024-01-06,PROD003,35
2024-01-07,PROD003,34
2024-01-08,PROD003,48
2024-01-09,PROD003,40
2024-01-10,PROD003,48
2024-01-11,PROD003,45
2024-01-12,PROD003,44
2024-01-13,PROD003,30
2024-01-14,PROD003,27
2024-01-15,PROD003,42
2024-01-16,PROD003,49
2024-01-17,PROD003,49
2024-01-18,PROD003,46
2024-01-19,PROD003,52
2024-01-20,PROD003,29
2024-01-21,PROD003,31
2024-01-22,PROD003,52
2024-01-23,PROD003,47
2024-01-24,PROD003,38
2024-01-25,PROD003,40
2024-01-26,PROD003,46
2024-01-27,PROD003,35
2024-01-28,PROD003,32
2024-01-29,PROD003,46
2024-01-30,PROD003,49
2024-01-31,PROD003,50
2024-02-01,PROD003,46
2024-02-02,PROD003,42
2024-02-03,PROD003,29
2024-02-04,PROD003,29
2024-02-05,PROD003,42
2024-02-06,PROD003,50
2024-02-07,PROD003,44
2024-02-08,PROD003,0
2024-02-09,PROD003,43
2024-02-10,PROD003,31
2024-02-11,PROD003,38
2024-02-12,PROD003,0
2024-02-13,PROD003,47
2024-02-14,PROD003,45
2024-02-15,PROD003,49
2024-02-16,PROD003,47
2024-02-17,PROD003,20
2024-02-18,PROD003,28
2024-02-19,PROD003,54
2024-02-20,PROD003,47
2024-02-21,PROD003,47
2024-02-22,PROD003,40
2024-02-23,PROD003,39
2024-02-24,PROD003,31
2024-02-25,PROD003,40
2024-02-26,PROD003,43
2024-02-27,PROD003,0
2024-02-28,PROD003,47
2024-02-29,PROD003,46
2024-03-01,PROD003,50
2024-03-02,PROD003,31
2024-03-03,PROD003,29
2024-03-04,PROD003,33
2024-03-05,PROD003,43
2024-03-06,PROD003,48
2024-03-07,PROD003,48
2024-03-08,PROD003,44
2024-03-09,PROD003,39
2024-03-10,PROD003,31
2024-03-11,PROD003,46
2024-03-12,PROD003,51
2024-03-13,PROD003,51
2024-03-14,PROD003,0
2024-03-15,PROD003,46
2024-03-16,PROD003,40
2024-03-17,PROD003,25
2024-03-18,PROD003,42
2024-03-19,PROD003,49
2024-03-20,PROD003,47
2024-03-21,PROD003,48
2024-03-22,PROD003,52
2024-03-23,PROD003,30
2024-03-24,PROD003,32
2024-03-25,PROD003,47
2024-03-26,PROD003,42
2024-03-27,PROD003,44
2024-03-28,PROD003,45
2024-03-29,PROD003,51
2024-03-30,PROD003,32
2024-03-31,PROD003,30
2024-04-01,PROD003,0
2024-04-02,PROD003,43
2024-04-03,PROD003,39
2024-04-04,PROD003,45
2024-04-05,PROD003,51
2024-04-06,PROD003,36
2024-04-07,PROD003,30
2024-04-08,PROD003,48
2024-04-09,PROD003,48
2024-04-10,PROD003,43
2024-04-11,PROD003,44
2024-04-12,PROD003,58
2024-04-13,PROD003,35
2024-04-14,PROD003,29
2024-04-15,PROD003,0
2024-04-16,PROD003,45
2024-04-17,PROD003,49
2024-04-18,PROD003,45
2024-04-19,PROD003,49
2024-04-20,PROD003,26
2024-04-21,PROD003,35
2024-04-22,PROD003,47
2024-04-23,PROD003,53
2024-04-24,PROD003,47
2024-04-25,PROD003,51
2024-04-26,PROD003,43
2024-04-27,PROD003,32
2024-04-28,PROD003,26
2024-04-29,PROD003,47
2024-04-30,PROD003,48
2024-05-01,PROD003,49
2024-05-02,PROD003,45
2024-05-03,PROD003,49
2024-05-04,PROD003,32
2024-05-05,PROD003,31
2024-05-06,PROD003,0
2024-05-07,PROD003,48
2024-05-08,PROD003,48
2024-05-09,PROD003,51
2024-05-10,PROD003,49
2024-05-11,PROD003,28
2024-05-12,PROD003,29
2024-05-13,PROD003,53
2024-05-14,PROD003,52
2024-05-15,PROD003,42
2024-05-16,PROD003,51
2024-05-17,PROD003,42
2024-05-18,PROD003,27
2024-05-19,PROD003,33
2024-05-20,PROD003,49
2024-05-21,PROD003,53
2024-05-22,PROD003,45
2024-05-23,PROD003,46
2024-05-24,PROD003,49
2024-05-25,PROD003,29
2024-05-26,PROD003,30
2024-05-27,PROD003,45
2024-05-28,PROD003,50
2024-05-29,PROD003,42
2024-05-30,PROD003,50
2024-05-31,PROD003,43
2024-06-01,PROD003,30
2024-06-02,PROD003,25
2024-06-03,PROD003,51
2024-06-04,PROD003,42
2024-06-05,PROD003,45
2024-06-06,PROD003,50
2024-06-07,PROD003,55
2024-06-08,PROD003,34
2024-06-09,PROD003,33
2024-06-10,PROD003,46
2024-06-11,PROD003,47
2024-06-12,PROD003,50
2024-06-13,PROD003,49
2024-06-14,PROD003,51
2024-06-15,PROD003,36
2024-06-16,PROD003,31
2024-06-17,PROD003,49
2024-06-18,PROD003,50
2024-06-19,PROD003,54
2024-06-20,PROD003,50
2024-06-21,PROD003,49
2024-06-22,PROD003,36
2024-06-23,PROD003,32
2024-06-24,PROD003,45
2024-06-25,PROD003,41
2024-06-26,PROD003,0
2024-06-27,PROD003,40
2024-06-28,PROD003,51
2024-06-29,PROD003,35
2024-06-30,PROD003,32
2024-01-01,PROD004,12
2024-01-02,PROD004,9
2024-01-03,PROD004,8
2024-01-04,PROD004,0
2024-01-05,PROD004,7
2024-01-06,PROD004,17
2024-01-07,PROD004,17
2024-01-08,PROD004,5
2024-01-09,PROD004,15
2024-01-10,PROD004,10
2024-01-11,PROD004,14
2024-01-12,PROD004,9
2024-01-13,PROD004,19
2024-01-14,PROD004,15
2024-01-15,PROD004,10
2024-01-16,PROD004,7
2024-01-17,PROD004,5
2024-01-18,PROD004,11
2024-01-19,PROD004,9
2024-01-20,PROD004,24
2024-01-21,PROD004,21
2024-01-22,PROD004,15
2024-01-23,PROD004,10
2024-01-24,PROD004,14
2024-01-25,PROD004,12
2024-01-26,PROD004,8
2024-01-27,PROD004,22
2024-01-28,PROD004,20
2024-01-29,PROD004,11
2024-01-30,PROD004,15
2024-01-31,PROD004,12
2024-02-01,PROD004,14
2024-02-02,PROD004,16
2024-02-03,PROD004,20
2024-02-04,PROD004,24
2024-02-05,PROD004,12
2024-02-06,PROD004,0
2024-02-07,PROD004,20
2024-02-08,PROD004,12
2024-02-09,PROD004,15
2024-02-10,PROD004,24
2024-02-11,PROD004,23
2024-02-12,PROD004,13
2024-02-13,PROD004,12
2024-02-14,PROD004,11
2024-02-15,PROD004,21
2024-02-16,PROD004,11
2024-02-17,PROD004,27
2024-02-18,PROD004,22
2024-02-19,PROD004,16
2024-02-20,PROD004,17
2024-02-21,PROD004,14
2024-02-22,PROD004,21
2024-02-23,PROD004,17
2024-02-24,PROD004,21
2024-02-25,PROD004,24
2024-02-26,PROD004,12
2024-02-27,PROD004,0
2024-02-28,PROD004,22
2024-02-29,PROD004,17
2024-03-01,PROD004,15
2024-03-02,PROD004,29
2024-03-03,PROD004,23
2024-03-04,PROD004,21
2024-03-05,PROD004,18
2024-03-06,PROD004,21
2024-03-07,PROD004,16
2024-03-08,PROD004,17
2024-03-09,PROD004,26
2024-03-10,PROD004,24
2024-03-11,PROD004,18
2024-03-12,PROD004,22
2024-03-13,PROD004,15
2024-03-14,PROD004,19
2024-03-15,PROD004,17
2024-03-16,PROD004,28
2024-03-17,PROD004,33
2024-03-18,PROD004,21
2024-03-19,PROD004,16
2024-03-20,PROD004,21
2024-03-21,PROD004,21
2024-03-22,PROD004,23
2024-03-23,PROD004,28
2024-03-24,PROD004,30
2024-03-25,PROD004,17
2024-03-26,PROD004,19
2024-03-27,PROD004,0
2024-03-28,PROD004,23
2024-03-29,PROD004,18
2024-03-30,PROD004,30
2024-03-31,PROD004,31
2024-04-01,PROD004,21
2024-04-02,PROD004,18
2024-04-03,PROD004,21
2024-04-04,PROD004,22
2024-04-05,PROD004,18
2024-04-06,PROD004,32
2024-04-07,PROD004,36
2024-04-08,PROD004,22
2024-04-09,PROD004,23
2024-04-10,PROD004,21
2024-04-11,PROD004,24
2024-04-12,PROD004,22
2024-04-13,PROD004,0
2024-04-14,PROD004,28
2024-04-15,PROD004,28
2024-04-16,PROD004,23
2024-04-17,PROD004,26
2024-04-18,PROD004,26
2024-04-19,PROD004,30
2024-04-20,PROD004,38
2024-04-21,PROD004,32
2024-04-22,PROD004,0
2024-04-23,PROD004,0
2024-04-24,PROD004,29
2024-04-25,PROD004,26
2024-04-26,PROD004,24
2024-04-27,PROD004,33
2024-04-28,PROD004,32
2024-04-29,PROD004,28
2024-04-30,PROD004,23
2024-05-01,PROD004,23
2024-05-02,PROD004,0
2024-05-03,PROD004,28
2024-05-04,PROD004,36
2024-05-05,PROD004,36
2024-05-06,PROD004,26
2024-05-07,PROD004,32
2024-05-08,PROD004,25
2024-05-09,PROD004,20
2024-05-10,PROD004,28
2024-05-11,PROD004,31
2024-05-12,PROD004,42
2024-05-13,PROD004,30
2024-05-14,PROD004,34
2024-05-15,PROD004,29
2024-05-16,PROD004,26
2024-05-17,PROD004,28
2024-05-18,PROD004,40
2024-05-19,PROD004,41
2024-05-20,PROD004,26
2024-05-21,PROD004,28
2024-05-22,PROD004,31
2024-05-23,PROD004,28
2024-05-24,PROD004,35
2024-05-25,PROD004,42
2024-05-26,PROD004,36
2024-05-27,PROD004,26
2024-05-28,PROD004,36
2024-05-29,PROD004,0
2024-05-30,PROD004,29
2024-05-31,PROD004,32
2024-06-01,PROD004,39
2024-06-02,PROD004,36
2024-06-03,PROD004,33
2024-06-04,PROD004,34
2024-06-05,PROD004,27
2024-06-06,PROD004,30
2024-06-07,PROD004,26
2024-06-08,PROD004,36
2024-06-09,PROD004,43
2024-06-10,PROD004,37
2024-06-11,PROD004,27
2024-06-12,PROD004,32
2024-06-13,PROD004,33
2024-06-14,PROD004,34
2024-06-15,PROD004,41
2024-06-16,PROD004,43
2024-06-17,PROD004,33
2024-06-18,PROD004,32
2024-06-19,PROD004,37
2024-06-20,PROD004,32
2024-06-21,PROD004,31
2024-06-22,PROD004,0
2024-06-23,PROD004,0
2024-06-24,PROD004,32
2024-06-25,PROD004,31
2024-06-26,PROD004,34
2024-06-27,PROD004,35
2024-06-28,PROD004,41
2024-06-29,PROD004,48
2024-06-30,PROD004,47
2024-01-01,PROD005,17
2024-01-02,PROD005,10
2024-01-03,PROD005,24
2024-01-04,PROD005,22
2024-01-05,PROD005,21
2024-01-06,PROD005,20
2024-01-07,PROD005,22
2024-01-08,PROD005,2
2024-01-09,PROD005,14
2024-01-10,PROD005,14
2024-01-11,PROD005,12
2024-01-12,PROD005,11
2024-01-13,PROD005,19
2024-01-14,PROD005,11
2024-01-15,PROD005,15
2024-01-16,PROD005,9
2024-01-17,PROD005,15
2024-01-18,PROD005,15
2024-01-19,PROD005,18
2024-01-20,PROD005,11
2024-01-21,PROD005,19
2024-01-22,PROD005,15
2024-01-23,PROD005,11
2024-01-24,PROD005,14
2024-01-25,PROD005,12
2024-01-26,PROD005,13
2024-01-27,PROD005,0
2024-01-28,PROD005,15
2024-01-29,PROD005,14
2024-01-30,PROD005,17
2024-01-31,PROD005,16
2024-02-01,PROD005,0
2024-02-02,PROD005,32
2024-02-03,PROD005,24
2024-02-04,PROD005,26
2024-02-05,PROD005,28
2024-02-06,PROD005,23
2024-02-07,PROD005,25
2024-02-08,PROD005,7
2024-02-09,PROD005,11
2024-02-10,PROD005,14
2024-02-11,PROD005,10
2024-02-12,PROD005,23
2024-02-13,PROD005,19
2024-02-14,PROD005,2
2024-02-15,PROD005,16
2024-02-16,PROD005,17
2024-02-17,PROD005,15
2024-02-18,PROD005,16
2024-02-19,PROD005,13
2024-02-20,PROD005,9
2024-02-21,PROD005,18
2024-02-22,PROD005,17
2024-02-23,PROD005,14
2024-02-24,PROD005,20
2024-02-25,PROD005,15
2024-02-26,PROD005,20
2024-02-27,PROD005,12
2024-02-28,PROD005,18
2024-02-29,PROD005,23
2024-03-01,PROD005,14
2024-03-02,PROD005,29
2024-03-03,PROD005,25
2024-03-04,PROD005,25
2024-03-05,PROD005,29
2024-03-06,PROD005,22
2024-03-07,PROD005,27
2024-03-08,PROD005,18
2024-03-09,PROD005,16
2024-03-10,PROD005,9
2024-03-11,PROD005,19
2024-03-12,PROD005,14
2024-03-13,PROD005,11
2024-03-14,PROD005,17
2024-03-15,PROD005,21
2024-03-16,PROD005,19
2024-03-17,PROD005,11
2024-03-18,PROD005,15
2024-03-19,PROD005,15
2024-03-20,PROD005,0
2024-03-21,PROD005,16
2024-03-22,PROD005,17
2024-03-23,PROD005,21
2024-03-24,PROD005,16
2024-03-25,PROD005,18
2024-03-26,PROD005,19
2024-03-27,PROD005,11
2024-03-28,PROD005,20
2024-03-29,PROD005,21
2024-03-30,PROD005,18
2024-03-31,PROD005,23
2024-04-01,PROD005,29
2024-04-02,PROD005,22
2024-04-03,PROD005,20
2024-04-04,PROD005,23
2024-04-05,PROD005,25
2024-04-06,PROD005,36
2024-04-07,PROD005,25
2024-04-08,PROD005,15
2024-04-09,PROD005,16
2024-04-10,PROD005,19
2024-04-11,PROD005,17
2024-04-12,PROD005,20
2024-04-13,PROD005,19
2024-04-14,PROD005,15
2024-04-15,PROD005,19
2024-04-16,PROD005,20
2024-04-17,PROD005,21
2024-04-18,PROD005,23
2024-04-19,PROD005,21
2024-04-20,PROD005,19
2024-04-21,PROD005,12
2024-04-22,PROD005,19
2024-04-23,PROD005,17
2024-04-24,PROD005,19
2024-04-25,PROD005,24
2024-04-26,PROD005,20
2024-04-27,PROD005,24
2024-04-28,PROD005,16
2024-04-29,PROD005,18
2024-04-30,PROD005,19
2024-05-01,PROD005,28
2024-05-02,PROD005,23
2024-05-03,PROD005,23
2024-05-04,PROD005,28
2024-05-05,PROD005,27
2024-05-06,PROD005,29
2024-05-07,PROD005,34
2024-05-08,PROD005,24
2024-05-09,PROD005,21
2024-05-10,PROD005,24
2024-05-11,PROD005,19
2024-05-12,PROD005,26
2024-05-13,PROD005,18
2024-05-14,PROD005,23
2024-05-15,PROD005,0
2024-05-16,PROD005,21
2024-05-17,PROD005,27
2024-05-18,PROD005,24
2024-05-19,PROD005,25
2024-05-20,PROD005,30
2024-05-21,PROD005,26
2024-05-22,PROD005,22
2024-05-23,PROD005,0
2024-05-24,PROD005,24
2024-05-25,PROD005,26
2024-05-26,PROD005,26
2024-05-27,PROD005,18
2024-05-28,PROD005,20
2024-05-29,PROD005,21
2024-05-30,PROD005,34
2024-05-31,PROD005,24
2024-06-01,PROD005,37
2024-06-02,PROD005,36
2024-06-03,PROD005,29
2024-06-04,PROD005,31
2024-06-05,PROD005,32
2024-06-06,PROD005,36
2024-06-07,PROD005,32
2024-06-08,PROD005,33
2024-06-09,PROD005,28
2024-06-10,PROD005,17
2024-06-11,PROD005,23
2024-06-12,PROD005,20
2024-06-13,PROD005,22
2024-06-14,PROD005,0
2024-06-15,PROD005,21
2024-06-16,PROD005,23
2024-06-17,PROD005,0
2024-06-18,PROD005,22
2024-06-19,PROD005,33
2024-06-20,PROD005,27
2024-06-21,PROD005,17
2024-06-22,PROD005,22
2024-06-23,PROD005,27
2024-06-24,PROD005,24
2024-06-25,PROD005,29
2024-06-26,PROD005,19
2024-06-27,PROD005,21
2024-06-28,PROD005,32
2024-06-29,PROD005,34
2024-06-30,PROD005,34
2024-01-01,PROD006,41
2024-01-02,PROD006,41
2024-01-03,PROD006,38
2024-01-04,PROD006,35
2024-01-05,PROD006,34
2024-01-06,PROD006,27
2024-01-07,PROD006,25
2024-01-08,PROD006,30
2024-01-09,PROD006,45
2024-01-10,PROD006,39
2024-01-11,PROD006,35
2024-01-12,PROD006,38
2024-01-13,PROD006,27
2024-01-14,PROD006,20
2024-01-15,PROD006,43
2024-01-16,PROD006,40
2024-01-17,PROD006,37
2024-01-18,PROD006,45
2024-01-19,PROD006,46
2024-01-20,PROD006,22
2024-01-21,PROD006,24
2024-01-22,PROD006,35
2024-01-23,PROD006,35
2024-01-24,PROD006,33
2024-01-25,PROD006,39
2024-01-26,PROD006,42
2024-01-27,PROD006,19
2024-01-28,PROD006,21
2024-01-29,PROD006,0
2024-01-30,PROD006,41
2024-01-31,PROD006,31
2024-02-01,PROD006,43
2024-02-02,PROD006,34
2024-02-03,PROD006,23
2024-02-04,PROD006,21
2024-02-05,PROD006,37
2024-02-06,PROD006,43
2024-02-07,PROD006,49
2024-02-08,PROD006,37
2024-02-09,PROD006,40
2024-02-10,PROD006,20
2024-02-11,PROD006,24
2024-02-12,PROD006,39
2024-02-13,PROD006,46
2024-02-14,PROD006,39
2024-02-15,PROD006,39
2024-02-16,PROD006,35
2024-02-17,PROD006,29
2024-02-18,PROD006,19
2024-02-19,PROD006,42
2024-02-20,PROD006,42
2024-02-21,PROD006,49
2024-02-22,PROD006,41
2024-02-23,PROD006,37
2024-02-24,PROD006,28
2024-02-25,PROD006,22
2024-02-26,PROD006,30
2024-02-27,PROD006,45
2024-02-28,PROD006,50
2024-02-29,PROD006,43
2024-03-01,PROD006,47
2024-03-02,PROD006,31
2024-03-03,PROD006,29
2024-03-04,PROD006,42
2024-03-05,PROD006,37
2024-03-06,PROD006,38
2024-03-07,PROD006,44
2024-03-08,PROD006,45
2024-03-09,PROD006,19
2024-03-10,PROD006,26
2024-03-11,PROD006,46
2024-03-12,PROD006,41
2024-03-13,PROD006,49
2024-03-14,PROD006,48
2024-03-15,PROD006,36
2024-03-16,PROD006,21
2024-03-17,PROD006,20
2024-03-18,PROD006,45
2024-03-19,PROD006,40
2024-03-20,PROD006,46
2024-03-21,PROD006,45
2024-03-22,PROD006,46
2024-03-23,PROD006,31
2024-03-24,PROD006,29
2024-03-25,PROD006,49
2024-03-26,PROD006,44
2024-03-27,PROD006,45
2024-03-28,PROD006,50
